gender,race,firstname,middlename,lastname,suffix,dob,ssn,address1,address2,zip5,zip4,quadrant,scenarionumber,IsDependent,primaryInsuredId,primaryInsuredRelationship,scenariodesc
M,White,Mohammed,,Faruk,,10/30/2000,104-88-1191,123 Connecticut Ave NW,apt 401,20051,0,,1,,,,Multiple disparate name variations and spellings
Male,Other,Mohamed,K,Fark,,10/30/2000,104-88-1191,12 Connecticut Ave,,20051,,NW,1,,,,Multiple disparate name variations and spellings
m,Unknown,Mehmet,,Faruk,,10/30/2001,104-88-1191,123 Connecticut Ave,#401,20051,,NW,1,,,,Multiple disparate name variations and spellings
MALE,Other,Muhammad,,Faruk,,10/30/2000,104-88-1191,"123 Connecticut Ave, Apt 401",,20051,,,1,,,,Multiple disparate name variations and spellings
MALE,Hispanic,Javier,X,Gonzalez,,10/20/2000,104-99-1199,"2241 8th St NE, Apt 2",,20051,,,1,,,,Multiple disparate name variations and spellings
,,Jonathan PeltaHeller,,,,4/4/1995,056-55-3452,456 17th Street,,,,NE,2,,,,"Hypenated Names, Name variations"
,,Jon,,Peltaheller,,4/4/1995,056-55-3450,456 17th St,unit 7,,,,2,,,,"Hypenated Names, Name variations"
,,John,,PeltaHeller,,4/4/1995,056-55-3451,456 17th St,#7,,,NE,2,,,,"Hypenated Names, Name variations"
Male,Black,George,,Foreman,Sr.,3/4/1945,112-98-8374,694 Pennsylvania Avenue ,,,,NE,3,,,,"Name Variations, Name Suffixes, Mixing First and Last name fields, Multiple  Mastered Identities, Default precedence (Race)"
Male,Unknown,G,,Foreman,,3/4/1945,112-98-8375,694 Pennsylvania Ave NE,,,,,3,,,,"Name Variations, Name Suffixes, Mixing First and Last name fields, Multiple  Mastered Identities, Default precedence (Race)"
M,Black,Foreman,,George,Jr,6/7/1966,112-98-8376,69 Pennsylvania Ave,,,,NE,3,,,,"Name Variations, Name Suffixes, Mixing First and Last name fields, Multiple  Mastered Identities, Default precedence (Race)"
male,Black,George,,Foreman,III,5/29/1986,112-98-8377,69 Pennsylvania Blvd,,,,NE,3,,,,"Name Variations, Name Suffixes, Mixing First and Last name fields, Multiple  Mastered Identities, Default precedence (Race)"
Male,White,Michael,,Smith,,2/1/1975,113-99-8801,534 4th Street ,,30332,,NE,4,,,,"Twins at same residence, variations in name spellings, Voting Majority for identity rules"
Male,White,Jordan,,Smyth,,2/1/1975,113-99-8802,534 4th Street ,,30332,,,4,,,,"Twins at same residence, variations in name spellings, Voting Majority for identity rules"
M,White,Mike,,Smyth,,2/1/1975,113-99-8803,534 4th Street ,,30332,,NE,4,,,,"Twins at same residence, variations in name spellings, Voting Majority for identity rules"
male,White,Jordie,,Smith,,2/1/1975,113-99-8804,534 4th Street ,,30332,,NE,4,,,,"Twins at same residence, variations in name spellings, Voting Majority for identity rules"
Female,Hispanic,Drindy,,Day,,1/27/1994,114-98-3748,744 28th Street ,,20051,,NE,5,,,,"Variations in name spellings, Middle Name conflated with First name, Last name conflated with First name"
