NPI,ProviderName,Address1,Address2,City,State,Zip,DataGenesis,DataType
1817398960,Ophtalmology Health Center,65 Hoepker Parkway SE,,Washington,D.C.,20290,Noisy,Provider
2525942599,DC Health Practice,042 Graedel Alley NW,UNIT 926,Washington,D.C.,20556,Noisy,Provider
2867882669,Internal Medicine Wellness Practice,14 Continental Alley NW,,Washington,D.C.,20230,Noisy,Provider
1528997797,Dr. Derwin McIver,78268 Eagle Crest Park NE,SUITE 946,Washington,D.C.,20083,Noisy,Provider
2777193110,Physical Medicine and Rehabilitation Wellness Clinic,05 Helena Point SE,SUITE 205,Washington,D.C.,20592,Noisy,Provider
1018493702,Dr. Rochella Yukhnini,3760 Gateway Plaza SE,UNIT 261,Washington,D.C.,20375,Noisy,Provider
1085601728,Dental Healthcare Associates,82715 Cascade Hill SE,UNIT 849,Washington,D.C.,20114,Noisy,Provider
1879008081,Dr. Shea Simonyi,5719 Dovetail Hill SW,,Washington,D.C.,20455,Noisy,Provider
2107071811,Dr. Hannis Gummery,1680 Northridge Drive NE,UNIT 512,Washington,D.C.,20379,Noisy,Provider
1173953828,Dr. Gerome Seivwright,22 Vahlen Parkway NW,SUITE 818,Washington,D.C.,20042,Noisy,Provider
2374300175,Dr. Garrik Works,4 Bluejay Circle NW,,Washington,D.C.,20198,Noisy,Provider
2303217404,Orthopaedic Healthcare Practice,768 Gateway Lane SW,,Washington,D.C.,20585,Noisy,Provider
2283062518,Psychiatric Medical Practice,8109 Waywood Place NW,,Washington,D.C.,20234,Noisy,Provider
2265005859,Allergy and Immunology Healthcare Group,8 West Parkway NW,SUITE 454,Washington,D.C.,20583,Noisy,Provider
1581560652,Dr. Flor Pogson,47385 Elka Lane NW,UNIT 765,Washington,D.C.,20096,Noisy,Provider
1327732647,Dr. Josephine McCafferty,9314 5th Hill SE,,Washington,D.C.,20182,Noisy,Provider
1214955140,Dr. Diahann Stoop,3707 Sachtjen Drive NE,,Washington,D.C.,20022,Noisy,Provider
1173434577,Dr. Loydie Yandle,91178 Susan Place SW,UNIT 685,Washington,D.C.,20365,Noisy,Provider
2402879641,Dr. Torey Pouton,38 Sugar Park NE,,Washington,D.C.,20545,Noisy,Provider
2141027533,Dr. Naomi Gibling,42030 Transport Place SW,SUITE 356,Washington,D.C.,20549,Noisy,Provider
2292387037,DC Physician Practice,88327 Montana Court NE,,Washington,D.C.,20525,Noisy,Provider
1513476213,Dr. Stevie Viles,65 Katie Point NW,SUITE 323,Washington,D.C.,20396,Noisy,Provider
2747742614,Dr. Georg Caress,25 West Place SE,,Washington,D.C.,20112,Noisy,Provider
1900020073,Dr. Charo Dunnaway,2764 Iowa Junction NE,SUITE 368,Washington,D.C.,20564,Noisy,Provider
2637980735,Dr. Merrill Ivanyushin,839 Corscot Avenue SE,SUITE 272,Washington,D.C.,20095,Noisy,Provider
2047646400,Dr. Brittne Colley,64 Reindahl Junction SW,,Washington,D.C.,20044,Noisy,Provider
2536050724,Dr. Loella Remington,2 Kennedy Lane NE,SUITE 685,Washington,D.C.,20576,Noisy,Provider
1251486319,Dental Healthcare Associates,3356 Corben Alley NE,,Washington,D.C.,20253,Noisy,Provider
1794634850,Urgent Care Medical Associates,9745 Brentwood Park SW,UNIT 686,Washington,D.C.,20569,Noisy,Provider
2133582779,Dr. Kimberlee Sowter,3316 Trailsway Trail SW,,Washington,D.C.,20555,Noisy,Provider
1934031349,Internal Medicine Healthcare Clinic,1 International Point SW,,Washington,D.C.,20013,Noisy,Provider
2080779484,Dr. Loraine Boggs,7944 American Ash Street SE,SUITE 207,Washington,D.C.,20385,Noisy,Provider
1381204694,Dr. Chickie Rickett,882 Nova Road SE,,Washington,D.C.,20014,Noisy,Provider
1197800048,Dr. Corinna Hullin,2 Morrow Place NE,UNIT 951,Washington,D.C.,20154,Noisy,Provider
2716182787,Dr. Calvin Cordy,6 Banding Park NW,,Washington,D.C.,20183,Noisy,Provider
1306752936,Dr. Ronny Traylen,715 Cody Plaza NE,UNIT 696,Washington,D.C.,20066,Noisy,Provider
1902238604,Preventive Care Healthcare Center,5391 Welch Trail NE,,Washington,D.C.,20074,Noisy,Provider
1233800738,Preventive Care Medical Group,7563 Garrison Alley SW,,Washington,D.C.,20231,Noisy,Provider
1296295152,Dermatology Healthcare Associates,264 Sunnyside Street NE,,Washington,D.C.,20504,Noisy,Provider
1308781854,Ophtalmology Medical Associates,76677 Sunnyside Pass NE,,Washington,D.C.,20290,Noisy,Provider
