ClaimIdentifier,Claim Type,Insured ID  Number,Patient_LastName,Patient_FirstName,Patient_MI,Patient_DOB,Patient_Sex,Insureds_LastName,Insureds_FirstName,Insureds_MI,Patient_Address1,Patient_Address2,Patient_City,Patient_State,Patient_Zip,Patient_Phone,Patient_RelationshipToInsured,Insureds_Address1,Insureds_Address2,Insureds_City,Insureds_State,Insureds_Zip,Insureds_Phone,Patient_Status_Marriage,Patient_Status_Employment,Patient_ConditionRelatedTo_Employment,Patient_ConditionRelatedTo_AutoAccident,Patient_ConditionRelatedTo_OtherAccident,Date_Of_Current,First_Date_Of_Illness,Provider_Referring_Name,Provider_Referring_NPI,DiagnosisCode1,DiagnosisCode2,DiagnosisCode3,DiagnosisCode4,CLM_1_From_Date,CLM_1_To_Date,CLM_1_PlaceOfService,CLM_1_CPT,CLM_1_CPT_Mod1,CLM_1_CPT_Mod2,CLM_1_CPT_Mod3,CLM_1_CPT_Mod4,CLM_1_CPT_DiagnosisPointer,CLM_1_CPT_Charges,CLM_1_CPT_DaysOrUnits,CLM_1_NPI,CLM_2_From_Date,CLM_2_To_Date,CLM_2_PlaceOfService,CLM_2_CPT,CLM_2_CPT_Mod1,CLM_2_CPT_Mod2,CLM_2_CPT_Mod3,CLM_2_CPT_Mod4,CLM_2_CPT_DiagnosisPointer,CLM_2_CPT_Charges,CLM_2_CPT_DaysOrUnits,CLM_2_NPI,CLM_3_From_Date,CLM_3_To_Date,CLM_3_PlaceOfService,CLM_3_CPT,CLM_3_CPT_Mod1,CLM_3_CPT_Mod2,CLM_3_CPT_Mod3,CLM_3_CPT_Mod4,CLM_3_CPT_DiagnosisPointer,CLM_3_CPT_Charges,CLM_3_CPT_DaysOrUnits,CLM_3_NPI,CLM_4_From_Date,CLM_4_To_Date,CLM_4_PlaceOfService,CLM_4_CPT,CLM_4_CPT_Mod1,CLM_4_CPT_Mod2,CLM_4_CPT_Mod3,CLM_4_CPT_Mod4,CLM_4_CPT_DiagnosisPointer,CLM_4_CPT_Charges,CLM_4_CPT_DaysOrUnits,CLM_4_NPI,CLM_5_From_Date,CLM_5_To_Date,CLM_5_PlaceOfService,CLM_5_CPT,CLM_5_CPT_Mod1,CLM_5_CPT_Mod2,CLM_5_CPT_Mod3,CLM_5_CPT_Mod4,CLM_5_CPT_DiagnosisPointer,CLM_5_CPT_Charges,CLM_5_CPT_DaysOrUnits,CLM_5_NPI,CLM_6_From_Date,CLM_6_To_Date,CLM_6_PlaceOfService,CLM_6_CPT,CLM_6_CPT_Mod1,CLM_6_CPT_Mod2,CLM_6_CPT_Mod3,CLM_6_CPT_Mod4,CLM_6_CPT_DiagnosisPointer,CLM_6_CPT_Charges,CLM_6_CPT_DaysOrUnits,CLM_6_NPI,FedTaxID,PatientAccountNumber,TotalCharge,AmountPaid,BalanceDue,ServiceFacility,BillingProviderInfo,DataGenesis,DataType
1001,MEDICAID,86180z18q08v,Day,Drindy,M,1/27/1994,F,Day,Drindy,M,744 28th Street ,,Washington,DC,20051,781-973-6436,SELF,744 28th Street NE,,Washington,DC,20051,781-973-6436,MARRIED,EMPLOYED,NO,NO,NO,5/27/2020,2/18/2018,Dr. Terra Kegg,2810623947,U07.1,,,,5/27/2020,5/27/2020,31,99213,N0,21,YX,,1,1358.29,1,2951611356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60-4415512,114-98-3748,1358.29,0,1358.29,"0 Toban Junction, Washington D.C., 20468","0 Toban Junction, Washington D.C., 20468",HandCrafted,Claim
1002,MEDICAID,97vCKV36mmvd,Faruk,Mohammed,K,10/30/2000,M,Faruk,Mohammed,K,123 Connecticut Ave NW,APT 401,Washington,DC,20051,857-227-2575,SELF,123 Connecticut Ave NW,APT 401,Washington,DC,20051,857-227-2575,SINGLE,EMPLOYED,NO,NO,NO,3/15/2020,3/15/2020,,,C34.90,,,,3/15/2020,3/15/2020,31,99203,,,,,1,1496.61,1,1456122224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-3301257,104-88-1191,1496.61,0,1496.61,"3 Hazelcrest Point, Washington D.C., 20431","3 Hazelcrest Point, Washington D.C., 20431",HandCrafted,Claim
1003,MEDICAID,97vCKV36mmvd,Faruk,Mohammed,K,10/30/2000,M,Faruk,Mohammed,K,123 Connecticut Ave NW,APT 401,Washington,DC,20051,857-227-2575,SELF,123 Connecticut Ave NW,APT 401,Washington,DC,20051,857-227-2575,SINGLE,EMPLOYED,NO,NO,NO,4/18/2020,4/18/2020,,,C73,,,,4/18/2020,4/18/2020,12,99212,,,,,1,2309.65,1,1456122224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-3301257,104-88-1191,2309.65,0,2309.65,"3 Hazelcrest Point, Washington D.C., 20431","3 Hazelcrest Point, Washington D.C., 20431",HandCrafted,Claim
1004,MEDICAID,QW7Q2ZqPy9dV,Gonzalez,Javier,X,10/20/2000,M,Gonzalez,Javier,X,2241 8th St NE,APT 2,Washington,DC,20051,774-931-2390,SELF,2241 8th St NE,APT 2,Washington,DC,20051,774-931-2390,SINGLE,EMPLOYED,NO,NO,NO,4/18/2020,4/18/2020,,,J11.1,,,,4/18/2020,4/18/2020,12,99221,,,,,1,1176.79,1,1153393968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-1015886,104-99-1199,1176.79,0,1176.79,"5068 Center Street, Washington D.C., 20437","5068 Center Street, Washington D.C., 20437",HandCrafted,Claim
1,MEDICAID,OOERtD2728MN,Varnham,Guy, ,3/16/1977,M,Varnham,Guy, ,01212 Lunder Park,,Washington,D.C.,20257,202-032-2990,SELF,01212 Lunder Park,,Washington,D.C.,20257,202-032-2990,OTHER,PART-TIME STUDENT,NO,YES,NO,2/4/2019,,,,R29.6,,I10,,2/4/2019,2/4/2019,21,99233,K6,U6,CA,R3,1,1511.68,1,2047646400,2/4/2019,2/4/2019,31,99231,32,71,2E,4D,1,856.45,1,2303217404,2/4/2019,2/4/2019,12,99223,5W,8D,T5,XY,1,1666.53,1,2402879641,2/4/2019,2/4/2019,2,99233,BG,29,T5,XY,1,1776.54,1,1018493702,2/4/2019,2/4/2019,2,99310,52,94,3X,E3,1,1993.53,1,2141027533,2/4/2019,2/4/2019,12,99221,Q5,FH,VQ,57,1,1218.54,1,2867882669,61-8968696,798-08-3064,9023.27,0,9023.27,"823 Waywood Pass, Washington D.C., 20056","823 Waywood Pass, Washington D.C., 20056",Noisy,Claim
2,MEDICAID,J302ddtQIUW6,Shalloe,Aleta, ,12/26/1998,F,Shalloe,Aleta, ,0508 Gerald Parkway,SUITE 602,Washington,D.C.,20173,202-966-9345,SELF,0508 Gerald Parkway,SUITE 602,Washington,D.C.,20173,202-966-9345,SINGLE,FULL-TIME STUDENT,NO,NO,NO,7/2/2018,,,,F31.9,,,,7/2/2018,7/2/2018,12,99213,,,,,1,460.5,1,1173434577,7/2/2018,7/2/2018,11,99349,,,,,1,1663.02,1,2867882669,7/2/2018,7/2/2018,21,99348,,,,,1,573.51,1,1214955140,7/2/2018,7/2/2018,2,99349,,,,,1,372.22,1,1528997797,7/2/2018,7/2/2018,21,99223,,,,,1,1815.85,1,2867882669,7/2/2018,7/2/2018,21,99204,,,,,1,1745.17,1,1251486319,36-8053800,523-88-5361,6630.27,0,6630.27,"7686 International Lane, Washington D.C., 20058","7686 International Lane, Washington D.C., 20058",Noisy,Claim
3,MEDICAID,t3875a6129l3,Riccardini,Michel, ,7/13/1945,F,Riccardini,Michel, ,23 Commercial Street,APT 738,Washington,D.C.,20518,202-262-0625,SELF,23 Commercial Street,APT 738,Washington,D.C.,20518,202-262-0625,SINGLE,FULL-TIME STUDENT,NO,NO,YES,5/21/2018,1/29/2017,DC Physician Practice,2292387037,U07.2,M54.32,M54.5,E11.9,5/21/2018,5/21/2018,2,99204,,,,,1,1889.63,1,2536050724,5/21/2018,5/21/2018,11,99232,,,,,1,1988.82,1,2047646400,5/21/2018,5/21/2018,21,99223,,,,,1,579.78,1,2283062518,5/21/2018,5/21/2018,11,99211,,,,,1,1424.94,1,2374300175,5/21/2018,5/21/2018,31,99348,,,,,1,824.92,1,2047646400,5/21/2018,5/21/2018,11,99233,,,,,1,1735.47,1,1085601728,94-1856787,420-80-0280,8443.56,0,8443.56,"77 Division Drive, Washington D.C., 20052","77 Division Drive, Washington D.C., 20052",Noisy,Claim
4,MEDICAID,05K3JS808DC3,Ratcliff,Ody, ,12/23/2001,M,Ratcliff,Ody, ,29925 Gateway Hill,SUITE 637,Washington,D.C.,20171,202-023-2989,SELF,29925 Gateway Hill,SUITE 637,Washington,D.C.,20171,202-023-2989,OTHER,PART-TIME STUDENT,NO,YES,NO,8/17/2018,6/13/2017,Allergy and Immunology Healthcare Group,2265005859,J11.1,R06.02,K21.0,,8/17/2018,8/17/2018,11,99205,,,,,1,1347.57,1,2402879641,8/17/2018,8/17/2018,31,99231,,,,,1,1646.54,1,2265005859,8/17/2018,8/17/2018,12,99310,,,,,1,1649.08,1,2747742614,8/17/2018,8/17/2018,21,99205,,,,,1,903.8,1,2141027533,8/17/2018,8/17/2018,31,81002,,,,,1,1320.8,1,1153393968,8/17/2018,8/17/2018,21,99212,,,,,1,773.69,1,1327732647,77-6707121,277-73-6627,7641.48,0,7641.48,"72 Marcy Way, Washington D.C., 20053","72 Marcy Way, Washington D.C., 20053",Noisy,Claim
5,MEDICAID,M71Ka75d932q,Lowensohn,Shay, ,10/18/2005,M,Lowensohn,Shay, ,78 Holy Cross Center,APT 622,Washington,D.C.,20498,202-232-7771,SELF,78 Holy Cross Center,APT 622,Washington,D.C.,20498,202-232-7771,SINGLE,FULL-TIME STUDENT,NO,NO,YES,6/12/2019,8/16/2016,Psychiatric Medical Practice,2283062518,C34.90,I10,,,6/12/2019,6/12/2019,2,99205,JO,7J,1Q,,1,1697.92,1,2951611356,6/12/2019,6/12/2019,21,99395,C9,4B,70,,1,960.16,1,1214955140,6/12/2019,6/12/2019,11,99223,0G,20,Y9,,1,1123.65,1,2951611356,6/12/2019,6/12/2019,31,99223,92,38,Y9,,1,733.7,1,1173434577,6/12/2019,6/12/2019,31,99213,2H,E3,P3,,1,869.53,1,1528997797,6/12/2019,6/12/2019,12,99310,E6,43,0Q,,1,1522.83,1,1327732647,34-2806065,506-07-5902,6907.79,0,6907.79,"692 Vernon Plaza, Washington D.C., 20056","692 Vernon Plaza, Washington D.C., 20056",Noisy,Claim
6,MEDICAID,rgP9ia58X6N6,Baldock,Janela, ,9/29/2004,F,Baldock,Janela, ,0 Reinke Road,,Washington,D.C.,20580,202-851-8918,SELF,0 Reinke Road,,Washington,D.C.,20580,202-851-8918,MARRIED,FULL-TIME STUDENT,NO,NO,NO,8/24/2019,,,,C34.90,,M54.31,,8/24/2019,8/24/2019,12,99205,,,,,1,1284.92,1,1327732647,8/24/2019,8/24/2019,2,99212,,,,,1,880.56,1,2402879641,8/24/2019,8/24/2019,2,99232,,,,,1,926.24,1,1018493702,8/24/2019,8/24/2019,31,81002,,,,,1,1341.85,1,2810623947,8/24/2019,8/24/2019,12,96127,,,,,1,643.55,1,1513476213,8/24/2019,8/24/2019,21,99221,,,,,1,1572.89,1,1018493702,23-9998746,833-66-5761,6650.01,0,6650.01,"111 Anthes Alley, Washington D.C., 20060","111 Anthes Alley, Washington D.C., 20060",Noisy,Claim
