emp_id,first_name,last_name,dob,addr1,addr2,city,latitude,longitude,state,zip,home_phone,mobile,pager,home_email,job_title,hire_date,work_phone,work_email,reports_to,dept_num,office_number
356,Tina,Webb,2/20/1988,62 Mayer Plaza,,El Paso,31.6948,-106.3,TX,88535,1-(915)584-8677,1-(339)592-9887,,,Marketing Manager,9/21/2007,1-(402)348-8753,Tina.Webb@foo.com,4,3,218
859,Anthony,Lynch,2/15/1955,264 Towne Court,,Albany,42.6149,-73.9708,NY,12247,1-(518)145-9097,1-(360)644-1023,,,Research Nurse,5/11/2014,1-(520)152-8561,Anthony.Lynch@foo.com,2,5,128
317,Nicole,Lewis,12/14/1967,81829 Kropf Parkway,,San Francisco,37.7211,-122.4754,CA,94132,1-(415)200-5450,1-(337)726-5912,,,Civil Engineer,9/13/2008,1-(334)859-9747,Nicole.Lewis@foo.com,2,5,469
324,Paula,Fernandez,8/7/1965,36397 Thackeray Crossing,,Arlington,32.7714,-97.2915,TX,76004,1-(817)853-8611,1-(212)324-2409,,,VP Accounting,4/8/2010,1-(410)532-3474,Paula.Fernandez@foo.com,5,1,760
427,Sarah,Washington,4/17/1954,20 Ryan Parkway,,Lexington,38.0283,-84.4715,KY,40576,1-(859)147-4868,1-(815)768-3364,,,Librarian,10/19/2012,1-(210)795-3451,Sarah.Washington@foo.com,5,1,64
6,Alan,Evans,12/22/1959,5 Susan Street,,El Paso,31.6948,-106.3,TX,88519,1-(915)956-6086,1-(630)395-8946,,,Senior Quality Engineer,12/9/2013,1-(971)397-5395,Alan.Evans@foo.com,1,5,172
7,Kevin,Olson,7/7/1971,37289 La Follette Hill,Apt. C,Frankfort,38.2341,-84.8748,KY,40618,1-(502)671-8030,1-(585)263-2020,,,Senior Developer,6/2/2006,1-(305)231-1701,Kevin.Olson@foo.com,2,2,538
8,Carol,Gonzalez,10/19/1989,10 Russell Avenue,,Philadelphia,39.9597,-75.2024,PA,19104,1-(610)184-4192,1-(304)897-3707,,,Programmer II,12/29/2010,1-(239)516-4139,Carol.Gonzalez@foo.com,4,1,565
9,Larry,Fields,6/10/1952,596 Bashford Drive,#2,Salt Lake City,40.6681,-111.9083,UT,84135,1-(801)445-8873,1-(304)804-2415,,lfields8@cisco.com,Nuclear Power Engineer,2/10/2014,1-(518)107-9443,Larry.Fields@foo.com,1,1,84
10,Peter,Graham,12/7/1974,763 Lillian Way,,Oakland,37.8471,-122.2223,CA,94611,1-(510)616-2712,1-(602)687-0138,,,Office Assistant II,8/26/2013,1-(818)583-2041,Peter.Graham@foo.com,3,2,179
11,Martha,Kelley,1/3/1972,956 Butterfield Trail,,El Paso,31.6948,-106.3,TX,88541,1-(915)890-4307,1-(901)520-5483,,,Sales Representative,1/29/2009,1-(414)632-9721,Martha.Kelley@foo.com,5,5,876
12,Ann,Ray,6/3/1959,58 Oneill Plaza,,Mobile,30.6589,-88.178,AL,36628,1-(251)495-1205,1-(415)446-1543,,,Assistant Professor,1/22/2006,1-(774)516-8374,Ann.Ray@foo.com,1,3,693
13,Terry,Brown,2/18/1993,800 Lakewood Gardens Hill,#2,Springfield,39.7655,-89.7293,IL,62711,1-(217)753-0542,1-(415)612-8341,,,Web Developer I,7/26/2009,1-(859)150-8624,Terry.Brown@foo.com,2,4,710
14,Bruce,Shaw,4/15/1990,8799 Darwin Park,,Philadelphia,40.0018,-75.1179,PA,19184,1-(215)432-3771,1-(407)371-1583,,,Project Manager,7/29/2015,1-(413)366-9034,Bruce.Shaw@foo.com,2,4,96
15,Louis,Palmer,12/15/1977,7 Pearson Avenue,,Fairfax,38.7351,-77.0796,VA,22036,1-(571)858-7399,1-(513)552-7496,,,Speech Pathologist,4/20/2008,1-(812)678-5788,Louis.Palmer@foo.com,1,4,311
16,Harold,Garcia,4/8/1983,9 Autumn Leaf Parkway,,Asheville,35.6004,-82.4918,NC,28805,1-(828)555-6859,1-(309)934-8302,,,Clinical Specialist,5/16/2010,1-(540)950-8160,Harold.Garcia@foo.com,4,1,730
17,Ashley,Carr,12/24/1976,2106 Golf Course Avenue,#1,Boston,42.3253,-71.1122,MA,2163,1-(857)225-5075,1-(330)835-3054,,,Assistant Media Planner,1/12/2011,1-(865)460-8523,Ashley.Carr@foo.com,3,5,296
18,Rebecca,Oliver,3/27/1959,56678 Mayer Lane,Suite 210,San Francisco,37.7848,-122.7278,CA,94169,1-(415)146-5125,1-(262)890-9697,,,Speech Pathologist,5/13/2008,1-(334)959-2974,Rebecca.Oliver@foo.com,5,2,905
19,Douglas,Webb,4/15/1992,5422 Linden Road,,Huntington,38.4134,-82.2774,WV,25770,1-(304)198-0603,1-(937)432-8371,,,Teacher,4/26/2006,1-(786)187-0030,Douglas.Webb@foo.com,3,5,995
20,Jeffrey,Coleman,12/24/1979,16778 Vidon Point,,Milwaukee,43.1154,-88.0346,WI,53225,1-(414)991-6069,1-(225)181-2395,,,Programmer II,9/6/2015,1-(214)489-2911,Jeffrey.Coleman@foo.com,5,4,20
21,Melissa,Andrews,6/30/1977,5074 Sommers Avenue,,Bronx,40.8247,-73.894,NY,10459,1-(917)842-4333,1-(310)135-4468,,,Technical Writer,9/17/2012,1-(540)127-6392,Melissa.Andrews@foo.com,5,5,354
22,Diane,Spencer,10/2/1982,17 Lunder Avenue,,Tulsa,36.1398,-96.0297,OK,74184,1-(918)359-3268,1-(702)603-8600,,,Pharmacist,6/10/2007,1-(808)548-4676,Diane.Spencer@foo.com,1,3,958
23,Debra,Turner,10/8/1966,87719 Atwood Place,Apt. B,Washington,38.8933,-77.0146,DC,20591,1-(202)319-2319,1-(214)143-0071,,,Recruiting Manager,3/19/2006,1-(602)700-3584,Debra.Turner@foo.com,2,2,4
24,Teresa,Thompson,2/2/1959,27518 Muir Parkway,Suite 210,Stockton,38.01,-121.3698,CA,95219,1-(209)202-5405,1-(312)718-5925,,,Senior Developer,1/8/2011,1-(859)759-8650,Teresa.Thompson@foo.com,2,4,452
25,Christopher,Smith,6/13/1957,05 Eliot Crossing,,Bronx,40.8702,-73.8495,NY,10469,1-(917)118-7196,1-(662)636-3474,,,Director of Sales,3/25/2006,1-(210)413-8500,Christopher.Smith@foo.com,1,3,44
26,Andrea,Knight,8/29/1966,8 3rd Alley,,Orange,33.7915,-117.714,CA,92862,1-(714)824-4968,1-(509)245-2336,,,Geologist IV,12/17/2012,1-(706)732-9273,Andrea.Knight@foo.com,1,2,922
27,Heather,Oliver,6/19/1967,3466 Hoepker Lane,,Irving,32.7673,-96.7776,TX,75037,1-(214)272-6193,1-(513)218-7916,,,Assistant Media Planner,12/11/2007,1-(402)723-3865,Heather.Oliver@foo.com,5,4,676
28,Catherine,Jackson,3/10/1969,581 Chive Center,,Houston,29.9781,-95.5803,TX,77070,1-(281)163-9706,1-(704)217-1025,,,Director of Sales,9/11/2007,1-(865)921-7546,Catherine.Jackson@foo.com,3,3,690
29,Brandon,Dunn,5/24/1976,27794 Jay Junction,,Saint Louis,38.6531,-90.2435,MO,63150,1-(314)207-8207,1-(253)731-3312,,,Structural Engineer,3/30/2015,1-(239)119-6580,Brandon.Dunn@foo.com,2,5,644
